,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
35,Chute-aux-Outardes,1,CA,1577642747,50,28.4,9.17,49.12,-68.38
36,Thompson,90,CA,1577642549,84,3.2,5.82,55.74,-97.86
37,Marti,75,CU,1577642749,88,77.0,12.75,21.15,-77.45
38,Cape Town,2,ZA,1577642647,64,72.0,18.34,-33.93,18.42
39,Duldurga,0,RU,1577642751,84,-18.13,5.19,50.67,113.59
40,Arraial do Cabo,50,BR,1577642752,69,86.0,13.87,-22.97,-42.02
41,Ukmerge,90,LT,1577642754,79,28.4,6.93,55.25,24.75
42,Zyryanka,0,RU,1577642755,85,-28.77,3.56,65.73,150.89
43,Villarrica,10,CL,1577642737,47,79.0,9.17,-39.28,-72.23
44,Severo-Kurilsk,100,RU,1577642757,89,24.01,15.21,50.68,156.12
45,Mount Gambier,13,AU,1577642758,64,69.8,9.17,-37.83,140.78
46,Barrow,66,AR,1577642759,39,87.08,11.77,-38.31,-60.23
47,Papara,20,BR,1577642760,55,87.8,17.22,-3.98,-38.73
48,Katsuura,75,JP,1577642762,93,48.99,2.24,33.93,134.5
49,Necochea,93,AR,1577642763,1,75.0,8.01,-38.55,-58.74
50,Mountain Home,90,US,1577642764,100,30.99,12.75,43.13,-115.69
51,Nemuro,21,JP,1577642765,58,27.54,10.25,43.32,145.57
52,Nouadhibou,96,MR,1577642767,24,80.6,2.24,20.93,-17.03
53,Loukhi,100,RU,1577642768,100,35.49,12.15,66.08,33.04
54,Sisimiut,48,GL,1577642769,88,6.26,3.02,66.94,-53.67
55,Ogulin,21,HR,1577642770,47,37.4,13.87,45.27,15.22
56,Long Branch,75,US,1577642528,100,55.99,5.82,37.88,-88.58
57,Severodvinsk,90,RU,1577642772,92,19.4,13.42,64.56,39.82
58,Maturin,100,VE,1577642774,62,85.33,7.54,9.75,-63.18
59,Kenai,75,US,1577642775,85,19.0,5.82,60.55,-151.26
60,Hermanus,1,ZA,1577642776,72,72.0,8.99,-34.42,19.24
61,Aykhal,100,RU,1577642777,75,-20.2,6.71,65.95,111.51
62,Virginia Beach,90,US,1577642581,93,62.6,8.05,36.85,-75.98
63,Butaritari,17,KI,1577642549,75,83.16,13.0,3.07,172.79
64,Pocatello,90,US,1577642780,85,21.2,8.05,42.87,-112.44
65,Ilulissat,75,GL,1577642667,67,17.6,12.75,69.22,-51.1
66,Qaanaaq,100,GL,1577642548,90,-0.17,4.79,77.48,-69.36
67,Husavik,100,CA,1577642784,92,12.0,8.01,50.56,-96.99
68,Santa Rosa,100,AR,1577642563,37,95.97,14.79,-36.62,-64.29
69,Punta Arenas,65,CL,1577642786,38,60.01,18.34,-53.16,-70.91
70,Inirida,69,CO,1577642787,52,92.28,4.0,3.87,-67.92
71,Upernavik,97,GL,1577642789,90,10.18,12.24,72.79,-56.15
72,East London,93,ZA,1577642551,78,73.4,11.41,-33.02,27.91
73,San Andres,0,PH,1577642791,87,73.45,3.09,13.32,122.68
74,Carnarvon,57,ZA,1577642551,19,81.48,8.86,-30.97,22.13
75,Tomatlan,92,MX,1577642793,36,84.61,3.13,19.93,-105.25
76,Avarua,100,CK,1577642794,78,77.0,8.05,-21.21,-159.78
77,Tilichiki,27,RU,1577642796,71,-13.13,7.47,60.47,166.1
78,Chokurdakh,0,RU,1577642797,85,-29.4,7.31,70.62,147.9
79,Celestun,83,MX,1577642798,73,75.22,7.29,20.87,-90.4
80,Ahuimanu,75,US,1577642799,78,77.0,10.29,21.44,-157.84
81,Mogadishu,91,SO,1577642785,81,81.03,21.43,2.04,45.34
82,Richards Bay,100,ZA,1577642801,93,71.85,25.32,-28.77,32.06
83,Mar del Plata,16,AR,1577642802,35,70.84,17.67,-46.43,-67.52
84,Touros,40,BR,1577642670,55,87.8,20.8,-5.2,-35.46
85,Saint George,75,GR,1577642804,52,42.8,8.05,39.45,22.34
86,Zonguldak,100,TR,1577642806,98,32.2,1.54,41.25,31.83
87,Horodnytsya,90,UA,1577642807,96,20.89,4.97,50.81,27.32
88,Morondava,95,MG,1577642808,89,79.02,2.73,-20.3,44.28
89,Kibala,50,TD,1577642809,17,102.2,2.64,9.11,18.35
90,Kazerun,0,IR,1577642810,60,55.29,1.45,29.62,51.65
91,Saint-Joseph,78,FR,1577642812,93,50.0,3.36,43.56,6.97
92,Saint-Philippe,1,CA,1577642813,80,34.0,5.28,45.36,-73.48
93,Cap Malheureux,75,MU,1577642814,94,77.0,19.46,-19.98,57.61
94,Kupang,100,ID,1577642815,74,84.31,9.42,-10.16,123.6
95,Lata,100,IN,1577642816,21,16.29,6.46,30.78,78.62
96,Davila,0,PH,1577642817,79,79.63,5.46,18.47,120.58
97,Santa Fe,55,AR,1577642818,53,98.01,11.01,-31.62,-60.7
98,Lebu,20,ET,1577642820,48,60.8,11.41,8.96,38.73
99,College,75,US,1577642821,69,-7.01,10.29,64.86,-147.8
100,General Roca,40,AR,1577642822,36,91.4,11.41,-39.03,-67.58
101,Arandis,91,NA,1577642823,86,63.0,3.0,-22.42,14.98
102,Te Anau,100,NZ,1577642824,89,51.58,5.03,-45.41,167.72
103,San Cristobal,60,HN,1577642825,54,80.89,8.37,14.68,-86.92
104,Saint Anthony,90,US,1577642827,92,17.6,3.6,43.97,-111.68
105,Kruisfontein,75,ZA,1577642828,94,66.85,7.74,-34.0,24.73
106,Bucak,75,TR,1577642829,74,51.8,10.29,37.46,30.59
107,Pacific Grove,90,US,1577642580,76,55.0,3.67,36.62,-121.92
108,Seminole,90,US,1577642831,55,42.01,6.93,32.72,-102.64
109,Lavrentiya,0,RU,1577642832,86,-5.06,10.16,65.58,-170.99
110,Honiara,20,SB,1577642833,94,73.4,3.36,-9.43,159.96
111,Samarinda,99,ID,1577642835,96,75.02,1.05,-0.5,117.14
112,Biak,79,ID,1577642836,76,81.81,4.97,-0.91,122.88
113,Luderitz,60,NA,1577642789,91,61.5,20.67,-26.65,15.16
114,Coquimbo,90,CL,1577642838,77,62.6,14.99,-29.95,-71.34
115,Pevek,100,RU,1577642839,99,-21.44,10.76,69.7,170.27
116,Eatonton,90,US,1577642840,100,69.01,6.46,33.33,-83.39
117,Yulara,53,AU,1577642842,54,80.6,8.05,-25.24,130.99
118,Port Elizabeth,90,US,1577642667,66,51.01,10.29,39.31,-74.98
119,Saldanha,4,PT,1577642609,62,45.91,2.24,41.42,-6.55
120,Hasaki,75,JP,1577642845,80,41.0,9.17,35.73,140.83
121,Kaduqli,23,SD,1577642846,14,73.63,11.74,11.01,29.72
122,San Matias,25,BO,1577642847,34,99.77,4.09,-16.36,-58.4
123,Urusha,0,RU,1577642848,90,-28.35,3.42,54.05,122.9
124,Kampot,20,KH,1577642850,94,73.4,1.12,10.62,104.18
125,Nelson Bay,0,AU,1577642851,82,70.0,2.73,-32.72,152.14
126,Port Blair,0,IN,1577642852,79,80.62,11.83,11.67,92.75
127,Kirakira,1,SB,1577642853,87,75.92,4.92,-10.46,161.92
128,Bredasdorp,92,ZA,1577642854,64,69.8,14.99,-34.53,20.04
129,Ishikawa,92,JP,1577642855,92,42.01,4.09,37.14,140.45
130,Hilo,90,US,1577642856,83,73.0,6.93,19.71,-155.08
131,Balkanabat,43,TM,1577642858,91,42.37,1.43,39.51,54.36
132,Quatre Cocos,75,MU,1577642859,94,77.0,19.46,-20.21,57.76
133,Chapada dos Guimaraes,40,BR,1577642860,46,91.4,6.93,-15.46,-55.75
134,Lompoc,1,US,1577642803,86,55.99,7.87,34.64,-120.46
135,Komsomolskiy,100,RU,1577642862,93,15.13,21.03,67.55,63.78
136,Russell,90,US,1577642863,69,35.01,20.8,38.9,-98.86
137,Chabahar,0,IR,1577642865,64,68.95,7.0,25.29,60.65
138,Puerto Carreno,20,CO,1577642866,55,91.4,11.41,6.19,-67.49
139,Buraydah,0,SA,1577642867,42,66.2,6.93,26.33,43.97
140,Longyearbyen,75,NO,1577642868,57,17.6,4.7,78.22,15.63
141,Tiksi,100,RU,1577642869,82,-18.92,17.09,71.64,128.87
142,Ribeira Grande,20,PT,1577642668,63,60.8,10.29,38.52,-28.7
143,Poum,75,MK,1577642871,58,28.4,10.29,41.28,20.71
144,Sawakin,0,SD,1577642872,59,76.28,8.9,19.1,37.33
145,Puyo,40,EC,1577642874,58,86.0,4.85,-1.48,-78.0
146,Kapaa,75,US,1577642875,94,71.6,3.36,22.08,-159.32
147,Pontianak,84,ID,1577642876,96,75.24,1.66,-0.02,109.34
148,Saskylakh,100,RU,1577642727,97,-17.18,9.51,71.97,114.09
149,Rockingham,40,GB,1577642878,93,46.0,10.29,52.52,-0.72
150,Chuy,4,UY,1577642879,53,88.34,10.38,-33.69,-53.46
151,Ostrovnoy,83,RU,1577642880,93,34.84,24.9,68.05,39.51
152,Poya,36,NC,1577642881,82,76.68,14.41,-21.35,165.16
153,Narsaq,75,GL,1577642731,86,28.4,2.24,60.91,-46.05
154,Dikson,100,RU,1577642669,96,-6.79,31.16,73.51,80.55
155,Kamina,96,CD,1577642885,97,66.81,7.0,-8.74,25.0
156,Meulaboh,1,ID,1577642886,81,81.43,7.65,4.14,96.13
157,Clara,100,IE,1577642887,91,48.0,11.01,53.34,-7.61
158,Lorengau,93,PG,1577642847,72,82.87,5.77,-2.02,147.27
159,Matara,100,BI,1577642889,92,59.9,2.8,-3.48,29.48
160,Sosnogorsk,39,RU,1577642891,84,7.48,10.04,63.59,53.93
161,Provideniya,0,RU,1577642892,76,-2.65,12.19,64.42,-173.23
162,Bonthe,7,SL,1577642893,66,84.15,11.32,7.53,-12.5
163,Tuktoyaktuk,40,CA,1577642894,74,-23.8,12.75,69.44,-133.03
164,Maragogi,79,BR,1577642895,71,80.4,10.74,-9.01,-35.22
165,Rome,0,IT,1577642859,48,44.6,5.82,41.89,12.48
166,Baker City,90,US,1577642634,74,35.01,5.82,44.77,-117.83
167,Khatanga,100,RU,1577642728,96,-26.46,6.13,71.98,102.47
168,Aripuana,100,BR,1577642900,95,74.57,1.86,-9.17,-60.63
169,Kaka,59,TM,1577642901,60,47.34,4.54,37.35,59.62
170,Sivas,90,TR,1577642903,100,30.2,1.12,39.75,37.01
171,Kurovskoye,90,RU,1577642904,86,26.6,2.24,55.58,38.92
172,Mulege,0,MX,1577642905,49,62.02,15.75,26.88,-111.98
173,Ancud,44,CL,1577642906,45,68.0,6.93,-41.87,-73.83
174,Tabou,27,CI,1577642907,84,80.37,4.63,4.42,-7.36
175,Westport,90,US,1577642731,64,44.6,6.93,41.14,-73.36
176,Inhambane,20,MZ,1577642909,74,78.8,12.33,-23.87,35.38
177,Mizunami,75,JP,1577642911,70,48.2,3.36,35.36,137.25
178,Kuna,1,US,1577642912,100,32.0,6.93,43.49,-116.42
179,Zhangye,99,CN,1577642913,48,20.46,4.34,38.94,100.46
180,Vaitape,100,PF,1577642914,75,80.85,9.42,-16.52,-151.75
181,Hamilton,90,CA,1577642707,93,39.0,28.86,43.26,-79.87
182,Charters Towers,0,AU,1577642917,88,67.71,5.73,-20.07,146.27
183,Kirra,17,GR,1577642918,52,48.99,20.0,38.43,22.45
184,Kodiak,90,US,1577642667,68,37.99,19.46,39.95,-94.76
185,San Carlos de Bariloche,72,AR,1577642920,22,78.8,11.41,-41.13,-71.31
186,Pullman,90,US,1577642891,87,35.01,9.17,46.73,-117.17
187,Norman Wells,75,CA,1577642922,67,-23.8,8.05,65.28,-126.83
188,Kaitangata,100,NZ,1577642923,74,55.0,5.99,-46.28,169.85
189,Cavalcante,100,BR,1577642925,76,74.3,1.92,-13.79,-47.46
190,Namibe,100,AO,1577642926,88,73.18,10.47,-15.19,12.15
191,Los Llanos de Aridane,54,ES,1577642927,40,73.4,11.41,28.66,-17.92
192,Port Hardy,75,CA,1577642849,87,46.4,18.34,50.7,-127.42
193,Isangel,38,VU,1577642929,83,76.26,16.15,-19.55,169.27
194,Oktyabrskiy,90,RU,1577642930,86,27.0,2.24,55.61,37.97
195,Qaqortoq,75,GL,1577642931,86,28.4,2.24,60.72,-46.03
196,Champerico,75,MX,1577642932,54,80.6,1.48,16.38,-93.6
197,Parlakimidi,94,IN,1577642897,60,58.33,1.12,18.77,84.08
198,Faanui,100,PF,1577642935,75,80.85,9.42,-16.48,-151.75
199,Umm Lajj,0,SA,1577642936,64,59.95,7.47,25.02,37.27
200,Kushima,100,JP,1577642937,87,53.01,4.0,31.5,131.29
201,Nanortalik,100,GL,1577642670,69,28.83,11.7,60.14,-45.24
202,Mahebourg,75,MU,1577642939,94,77.0,19.46,-20.41,57.7
203,Xiongzhou,98,CN,1577642940,100,46.99,2.24,32.34,118.83
204,Nabire,69,ID,1577642942,96,72.34,2.04,-3.36,135.5
205,Georgetown,40,GY,1577642777,70,87.8,11.41,6.8,-58.16
206,Devils Lake,90,US,1577642944,85,15.8,26.4,48.11,-98.87
207,New Norfolk,9,AU,1577642670,82,60.8,6.93,-42.78,147.06
208,Jieshou,0,CN,1577642946,81,44.53,2.13,33.26,115.35
209,Itamaraca,40,BR,1577642947,62,86.0,12.75,-7.75,-34.83
210,Novovarshavka,100,RU,1577642949,95,7.88,8.21,54.17,74.7
211,Mikumi,100,TZ,1577642950,96,71.31,1.77,-7.4,36.98
212,Isabela,18,PH,1577642951,95,67.84,7.99,10.2,122.99
213,Prince Albert,75,CA,1577642952,84,3.2,5.82,53.2,-105.75
214,Igarka,100,RU,1577642953,95,-27.29,16.82,67.47,86.57
215,Pala,100,TD,1577642954,16,75.24,4.18,9.37,14.91
216,Berea,90,US,1577642789,100,64.99,6.93,37.57,-84.3
217,Saint-Augustin,90,CA,1577642957,57,34.0,4.7,45.63,-73.98
218,Sitka,0,US,1577642848,67,36.0,20.0,37.17,-99.65
219,Santa Cruz Cabralia,40,BR,1577642959,62,84.2,10.29,-16.28,-39.02
220,Miandrivazo,82,MG,1577642960,80,81.12,5.75,-19.53,45.46
221,Nome,90,US,1577642961,93,62.6,11.41,30.04,-94.42
222,Kiomboi,90,TZ,1577642962,92,64.83,3.18,-4.28,34.41
223,Micheweni,100,TZ,1577642963,79,83.3,21.88,-4.97,39.83
224,Itarema,69,BR,1577642965,51,89.02,14.79,-2.92,-39.92
225,Grand Gaube,75,MU,1577642966,94,77.0,19.46,-20.01,57.66
226,Atuona,94,PF,1577642967,74,80.44,16.33,-9.8,-139.03
227,Faisalabad,0,PK,1577642968,18,49.57,2.91,31.42,73.09
228,Flinders,90,AU,1577642969,100,69.01,3.36,-34.58,150.85
229,Fort Nelson,75,CA,1577642970,76,-7.6,3.36,58.81,-122.69
230,Kyzyl,15,RU,1577642972,88,-27.54,0.56,51.72,94.43
231,Vila,31,IT,1577642973,100,39.99,2.24,45.18,8.4
232,Ararat,45,AM,1577642974,65,41.0,8.05,39.85,44.7
233,Padang,69,ID,1577642975,96,69.06,4.7,-0.92,100.36
234,Victoria,75,BN,1577642676,83,82.4,8.05,5.28,115.24
235,Tautira,75,PF,1577642978,65,82.4,5.82,-17.73,-149.15
236,Airai,99,TL,1577642979,94,68.07,2.51,-8.93,125.41
237,Cherskiy,100,RU,1577642980,99,-30.46,3.94,68.75,161.3
238,Castro,28,CL,1577642981,45,68.0,6.93,-42.48,-73.76
239,Sao Joao da Barra,20,BR,1577642982,55,86.0,9.17,-21.64,-41.05
240,San Quintin,2,PH,1577642789,92,71.76,3.91,17.54,120.52
241,Portland,40,US,1577642964,44,41.0,8.88,43.66,-70.25
242,Ponta Delgada,20,PT,1577642986,63,60.8,8.05,37.73,-25.67
243,Santa Isabel,1,MX,1577642987,50,53.6,2.3,32.63,-115.58
244,Ternate,40,PH,1577642988,78,78.8,9.15,14.29,120.72
245,Shingu,100,JP,1577642989,75,57.54,7.7,33.72,135.99
246,Dagda,18,LV,1577642991,71,25.41,8.08,56.09,27.54
247,Alpena,90,US,1577642992,100,36.0,16.11,45.06,-83.43
248,Mana,0,NG,1577642993,12,73.76,9.26,13.03,5.27
249,Bambous Virieux,75,MU,1577642994,94,77.0,19.46,-20.34,57.76
250,Itapirapua,97,BR,1577642995,47,92.59,0.36,-15.82,-50.61
251,Geraldton,90,CA,1577642727,85,15.8,12.75,49.72,-86.95
252,Bandarbeyla,100,SO,1577642998,85,78.84,10.33,9.49,50.81
253,Port Macquarie,0,AU,1577642999,77,68.0,10.29,-31.43,152.91
254,Yaan,94,NG,1577643000,14,83.16,1.61,7.38,8.57
255,Flin Flon,90,CA,1577643001,84,5.0,9.17,54.77,-101.88
256,Umaria,35,IN,1577643012,44,47.26,2.73,23.52,80.84
257,Vardo,90,US,1577643013,100,48.99,5.82,39.62,-77.74
258,Bhakkar,0,PK,1577643015,29,49.89,4.94,31.63,71.07
259,Santa Maria,75,BR,1577643016,42,86.0,5.82,-16.02,-48.01
260,Kandrian,38,PG,1577643017,93,73.69,2.17,-6.21,149.55
261,Gat,3,SN,1577643018,19,93.2,9.17,14.69,-16.54
262,Chicama,75,PE,1577643019,83,69.8,10.29,-7.84,-79.15
263,Talnakh,85,RU,1577642849,74,-25.6,15.66,69.49,88.39
264,Tuatapere,100,NZ,1577643022,82,54.0,11.01,-46.13,167.69
265,Puerto del Rosario,13,ES,1577643023,46,69.8,5.82,28.5,-13.86
266,Namatanai,26,PG,1577643024,75,81.84,8.23,-3.66,152.44
267,Volchikha,100,RU,1577643026,91,20.57,10.51,52.02,80.36
268,Port Maria,20,JM,1577643027,66,86.0,11.41,18.37,-76.89
269,Lakhdenpokhya,100,RU,1577643028,95,30.0,14.47,61.52,30.2
270,Tura,100,RU,1577642969,90,-16.89,5.14,64.27,100.22
271,Grindavik,40,IS,1577643031,77,37.4,25.28,63.84,-22.43
272,Manokwari,58,ID,1577643033,79,72.55,4.94,-0.87,134.08
273,Havelock,40,US,1577643034,64,77.0,12.75,34.88,-76.9
274,Tamandare,100,BR,1577643035,92,80.85,4.23,-8.28,-70.75
275,Sambava,100,MG,1577643036,96,73.71,1.74,-14.27,50.17
276,Margate,58,AU,1577642789,82,60.8,6.93,-43.03,147.26
277,Ilhabela,100,BR,1577643006,84,78.03,18.37,-23.78,-45.36
278,Karasjok,75,NO,1577643042,100,35.6,17.22,69.47,25.52
279,Egvekinot,0,RU,1577643043,78,-12.71,9.06,66.32,-179.17
280,Lvovskiy,90,RU,1577643044,86,27.0,4.47,55.31,37.52
281,Noumea,90,NC,1577643046,78,78.01,2.24,-22.28,166.46
282,Ponta do Sol,64,BR,1577643047,58,81.36,3.53,-20.63,-46.0
283,Port Hedland,57,AU,1577643048,89,86.0,16.11,-20.31,118.58
284,Nurota,100,UZ,1577643049,69,37.4,4.7,40.56,65.69
285,Huntsville,75,US,1577642757,88,70.0,13.87,34.73,-86.59
286,Dwarka,20,IN,1577642971,100,54.0,2.66,28.58,77.04
287,Castanos,0,MX,1577643053,40,64.31,10.83,26.78,-101.42
288,Lomboy,75,PH,1577643054,83,73.4,4.7,15.49,120.72
289,Sakaiminato,90,JP,1577643055,87,48.2,3.36,35.55,133.23
290,Cabo San Lucas,5,MX,1577642906,52,70.0,2.24,22.89,-109.91
291,Walvis Bay,49,NA,1577643057,64,69.8,16.11,-22.95,14.51
292,Basco,75,US,1577643059,81,55.0,17.22,40.33,-91.2
293,Baixa Grande,89,BR,1577643060,32,93.07,9.75,-11.96,-40.17
294,Namwala,36,ZM,1577643061,69,75.45,5.88,-15.75,26.45
295,San Policarpo,0,PH,1577643062,77,80.31,9.44,12.18,125.51
296,Jalu,23,LY,1577643064,57,51.6,14.85,29.03,21.55
297,Kilindoni,95,TZ,1577643065,84,81.82,16.37,-7.91,39.67
298,Dourbali,82,TD,1577643066,14,74.37,8.88,11.81,15.86
299,Junction City,90,US,1577642781,69,35.01,16.11,39.03,-96.83
300,Hobyo,80,SO,1577643068,78,79.02,12.64,5.35,48.53
301,Thinadhoo,85,MV,1577643008,81,82.72,14.07,0.53,72.93
302,Hualmay,48,PE,1577643071,56,79.02,10.71,-11.1,-77.61
303,Moroni,75,GR,1577643072,93,48.2,7.7,35.09,24.92
304,Sosnovo-Ozerskoye,89,RU,1577643074,96,-24.16,8.61,52.53,111.54
305,Inuvik,75,CA,1577643075,67,-20.2,8.05,68.36,-133.71
306,Najran,0,SA,1577643078,36,62.6,1.63,17.54,44.22
307,Mazagao,75,BR,1577643079,70,89.6,12.75,-0.12,-51.29
308,Ambilobe,100,MG,1577643080,90,76.21,1.34,-13.19,49.05
309,Estacion Coahuila,1,MX,1577643081,27,53.6,11.41,32.19,-115.0
310,Makakilo City,75,US,1577643083,78,77.0,10.29,21.35,-158.09
311,Kimamba,75,TZ,1577643084,88,77.0,2.57,-6.79,37.14
312,Esperance,90,AU,1577643085,67,62.6,19.46,-33.86,121.89
313,Miri,73,NG,1577643086,16,69.91,6.69,10.31,9.75
314,Plettenberg Bay,67,ZA,1577643087,94,67.32,11.1,-34.05,23.37
315,Iqaluit,75,CA,1577643089,83,-5.01,8.05,63.75,-68.52
316,Moron,0,HT,1577643090,65,79.88,4.18,18.56,-74.26
317,Portobelo,20,PA,1577643091,59,91.4,11.41,9.55,-79.65
318,Guia de Isora,86,ES,1577643092,67,75.0,3.36,28.21,-16.78
319,Hyeres,90,FR,1577643094,87,50.0,2.24,43.12,6.14
320,Carutapera,50,BR,1577643095,77,82.67,15.3,-1.2,-46.02
321,Clyde River,90,CA,1577643096,78,14.0,17.22,70.47,-68.59
322,Bubaque,0,GW,1577643097,53,82.9,9.73,11.28,-15.83
323,Rondonopolis,67,BR,1577643098,31,98.26,5.73,-16.46,-54.64
324,Yerbogachen,100,RU,1577643084,96,-14.82,11.74,61.28,108.01
325,Agirish,14,RU,1577643101,76,3.58,8.86,61.92,63.02
326,Launceston,33,AU,1577643102,62,59.0,4.7,-41.43,147.14
327,Fortuna,90,US,1577643103,93,48.99,12.75,40.6,-124.16
328,Tezu,0,IN,1577643104,41,53.13,3.47,27.93,96.16
329,Rosarito,40,CO,1577643106,69,84.2,5.82,4.91,-75.23
330,Kemise,84,ET,1577643107,76,65.17,2.53,10.72,39.87
331,Katobu,100,ID,1577643108,92,75.34,1.97,-4.94,122.53
332,Rio Grande,57,BR,1577643110,56,96.8,9.17,-32.03,-52.1
333,Salinas,75,US,1577642990,75,54.0,1.59,36.67,-121.66
334,Quelimane,40,MZ,1577643112,79,84.2,5.82,-17.88,36.89
335,Palaikastron,100,GR,1577643113,79,48.99,5.99,35.2,26.25
336,Nishiwaki,75,JP,1577643115,87,48.99,11.41,35.01,135.0
337,Anloga,20,GH,1577643116,66,87.8,6.93,5.79,0.9
338,Sao Jose da Coroa Grande,79,BR,1577643118,71,80.4,10.74,-8.9,-35.15
339,Igrim,82,RU,1577643119,80,9.57,12.39,63.19,64.42
340,Kysyl-Syr,93,RU,1577643120,98,-32.78,4.97,63.9,122.77
341,Cayenne,75,GF,1577643122,70,86.0,13.87,4.94,-52.33
342,Lasem,100,ID,1577643123,95,75.81,4.43,-6.99,112.52
343,Altay,97,CN,1577643124,34,6.73,4.83,47.83,88.13
344,Hami,0,CN,1577643125,31,18.54,4.63,42.84,93.51
345,Torbay,90,CA,1577643126,92,33.01,20.8,47.66,-52.73
346,Columbus,90,US,1577643063,88,73.99,6.93,32.46,-84.99
347,Tanete,100,ID,1577643129,92,75.36,2.68,-3.94,119.78
348,Jaumave,90,MX,1577643130,73,78.01,2.91,23.41,-99.38
349,Tessalit,0,ML,1577643131,9,70.5,11.03,20.2,1.01
350,Huarmey,54,PE,1577643132,48,82.92,12.48,-10.07,-78.15
351,Salalah,40,OM,1577643133,65,78.8,14.99,17.01,54.1
352,Hofn,90,IS,1577643135,93,41.0,6.93,64.25,-15.21
353,Ahipara,0,NZ,1577643136,100,54.0,11.16,-35.17,173.16
354,Porto Novo,40,BR,1577643137,43,87.8,3.36,-23.68,-45.44
355,Krasnyy Chikoy,11,RU,1577643138,99,-30.6,1.88,50.36,108.75
356,Bambanglipuro,100,ID,1577643140,89,77.32,1.05,-7.95,110.28
357,Atambua,90,ID,1577643141,83,76.12,2.37,-9.11,124.89
358,Baragua,19,CU,1577643142,64,85.12,12.21,21.7,-78.63
359,Okhotsk,100,RU,1577642908,72,6.24,6.8,59.36,143.24
360,Harper,1,US,1577643145,30,62.01,21.92,30.3,-99.24
361,Codrington,19,AU,1577644559,87,64.99,1.79,-28.95,153.24
362,Ereymentau,95,KZ,1577644560,96,18.7,7.94,51.62,73.1
363,Forio,40,IT,1577644561,60,48.99,11.41,40.73,13.86
364,Masty,3,BY,1577644563,78,26.98,6.11,53.42,24.54
365,Pundaguitan,41,PH,1577644564,84,78.28,9.71,6.37,126.17
366,Sept-Iles,20,CA,1577644352,53,24.01,10.29,50.2,-66.38
367,Artyom,90,RU,1577644566,79,28.4,3.53,43.36,132.19
368,Mamakan,23,RU,1577644567,99,-32.8,2.28,57.82,114.02
369,Mayumba,89,GA,1577644569,80,81.9,4.61,-3.44,10.65
370,Alofi,75,NU,1577644570,94,77.0,4.7,-19.06,-169.92
371,Ratnagiri,0,IN,1577644571,84,71.26,1.21,16.98,73.3
372,Whitehorse,20,CA,1577644573,79,24.8,12.75,60.72,-135.06
373,Natal,40,BR,1577644412,58,87.8,18.34,-5.81,-35.21
